P16	Tissue	class	IOD	Area	Area.Density
Aortic_arch_J1	Aortic_arch	Juvenile	0.734051	1474560	5e-07
Aortic_arch_J2	Aortic_arch	Juvenile	0.952581	1474560	6e-07
Aortic_arch_J3	Aortic_arch	Juvenile	0.348909	1474560	2e-07
Aortic_arch_J4	Aortic_arch	Juvenile	0.436332	1223630	4e-07
Aortic_arch_J5	Aortic_arch	Juvenile	0.443938	1474560	3e-07
Aortic_arch_Y1	Aortic_arch	Young	3.683925	1474560	2.5e-06
Aortic_arch_Y2	Aortic_arch	Young	2.938112	1474560	2e-06
Aortic_arch_Y3	Aortic_arch	Young	2.416215	1474560	1.6e-06
Aortic_arch_Y4	Aortic_arch	Young	6.372271	1262878	5e-06
Aortic_arch_Y5	Aortic_arch	Young	3.082086	1474560	2.1e-06
Aortic_arch_E1	Aortic_arch	Elderly	11376.1	1474560	0.0077149
Aortic_arch_E2	Aortic_arch	Elderly	8393.718	1310621	0.0064044
Aortic_arch_E3	Aortic_arch	Elderly	3847.618	1102417	0.0034902
Aortic_arch_E4	Aortic_arch	Elderly	6044.612	1406719	0.004297
Aortic_arch_E5	Aortic_arch	Elderly	4124.327	1281828	0.0032175
Spleen_J1	Spleen	Juvenile	8.6359	1474560	5.9e-06
Spleen_J2	Spleen	Juvenile	2.828773	1474560	1.9e-06
Spleen_J3	Spleen	Juvenile	5.162484	1474560	3.5e-06
Spleen_J4	Spleen	Juvenile	8.084392	1474560	5.5e-06
Spleen_J5	Spleen	Juvenile	8.032043	1474560	5.4e-06
Spleen_Y1	Spleen	Young	27.15781	1474560	1.84e-05
Spleen_Y2	Spleen	Young	30.87326	1474560	2.09e-05
Spleen_Y3	Spleen	Young	20.52009	1474560	1.39e-05
Spleen_Y4	Spleen	Young	68.90948	1474560	4.67e-05
Spleen_Y5	Spleen	Young	47.02355	1474560	3.19e-05
Spleen_E1	Spleen	Elderly	35962.51	1474560	0.0243886
Spleen_E2	Spleen	Elderly	41220.03	1474560	0.0279541
Spleen_E3	Spleen	Elderly	21275.47	1474560	0.0144284
Spleen_E4	Spleen	Elderly	21713.26	1474560	0.0147252
Spleen_E5	Spleen	Elderly	20590.92	1474560	0.0139641
Kidney_J1	Kidney	Juvenile	10.53357	1474560	7.1e-06
Kidney_J2	Kidney	Juvenile	14.00497	1474560	9.5e-06
Kidney_J3	Kidney	Juvenile	8.241776	1474560	5.6e-06
Kidney_J4	Kidney	Juvenile	6.562869	1474560	4.5e-06
Kidney_J5	Kidney	Juvenile	11.14371	1474560	7.6e-06
Kidney_Y1	Kidney	Young	75.22356	1474560	5.1e-05
Kidney_Y2	Kidney	Young	52.23132	1474560	3.54e-05
Kidney_Y3	Kidney	Young	37.41991	1474560	2.54e-05
Kidney_Y4	Kidney	Young	32.22437	1474560	2.19e-05
Kidney_Y5	Kidney	Young	6.602001	1474560	4.5e-06
Kidney_E1	Kidney	Elderly	35339.27	1228800	0.0287592
Kidney_E2	Kidney	Elderly	36847.7	1228800	0.0299867
Kidney_E3	Kidney	Elderly	26995.33	1228800	0.0219689
Kidney_E4	Kidney	Elderly	33166.95	1228800	0.0269913
Kidney_E5	Kidney	Elderly	26587.58	1474560	0.0180309
Ovary_J1	Ovary	Juvenile	2.281119	1474560	1.5e-06
Ovary_J2	Ovary	Juvenile	6.317636	1474560	4.3e-06
Ovary_J3	Ovary	Juvenile	4.619419	1308161	3.5e-06
Ovary_J4	Ovary	Juvenile	5.414047	1263839	4.3e-06
Ovary_J5	Ovary	Juvenile	9.574054	1359977	7e-06
Ovary_Y1	Ovary	Young	75.74191	1312468	5.77e-05
Ovary_Y2	Ovary	Young	65.4809	1349752	4.85e-05
Ovary_Y3	Ovary	Young	106.3827	1474560	7.21e-05
Ovary_Y4	Ovary	Young	19.17184	1474560	1.3e-05
Ovary_Y5	Ovary	Young	12.85301	1474560	8.7e-06
Ovary_E1	Ovary	Elderly	6261.917	1474560	0.0042466
Ovary_E2	Ovary	Elderly	3540.679	1252932	0.0028259
Ovary_E3	Ovary	Elderly	6962.887	1474560	0.004722
Ovary_E4	Ovary	Elderly	4424.401	1293425	0.0034207
Ovary_E5	Ovary	Elderly	2364.948	1238488	0.0019095
Thymus_J1	Thymus	Juvenile	10.44341	1474560	7.1e-06
Thymus_J2	Thymus	Juvenile	8.424717	1421091	5.9e-06
Thymus_J3	Thymus	Juvenile	2.951177	916650	3.2e-06
Thymus_J4	Thymus	Juvenile	7.019168	1474560	4.8e-06
Thymus_J5	Thymus	Juvenile	5.776385	1474560	3.9e-06
Thymus_Y1	Thymus	Young	16.56425	1474560	1.12e-05
Thymus_Y2	Thymus	Young	19.18023	1415777	1.35e-05
Thymus_Y3	Thymus	Young	32.23609	1429368	2.26e-05
Thymus_Y4	Thymus	Young	69.17657	1445228	4.79e-05
Thymus_Y5	Thymus	Young	39.65617	1474560	2.69e-05
Thymus_E1	Thymus	Elderly	1454.066	950024	0.0015306
Thymus_E2	Thymus	Elderly	4460.32	939832	0.0047459
Thymus_E3	Thymus	Elderly	3132.29	1350472	0.0023194
Thymus_E4	Thymus	Elderly	3339.157	1419346	0.0023526
Thymus_E5	Thymus	Elderly	2090.375	1165495	0.0017936
Uterus_J1	Uterus	Juvenile	0.623908	1474560	4e-07
Uterus_J2	Uterus	Juvenile	0.448553	1474560	3e-07
Uterus_J3	Uterus	Juvenile	0.451846	1474560	3e-07
Uterus_J4	Uterus	Juvenile	0.623908	1474560	4e-07
Uterus_J5	Uterus	Juvenile	0.448553	1474560	3e-07
Uterus_Y1	Uterus	Young	6.80702	1474560	4.6e-06
Uterus_Y2	Uterus	Young	8.595359	1474560	5.8e-06
Uterus_Y3	Uterus	Young	7.996909	1474560	5.4e-06
Uterus_Y4	Uterus	Young	9.442608	1474560	6.4e-06
Uterus_Y5	Uterus	Young	8.054196	1320613	6.1e-06
Uterus_E1	Uterus	Elderly	7275.1	1474560	0.0049337
Uterus_E2	Uterus	Elderly	9147.252	1474560	0.0062034
Uterus_E3	Uterus	Elderly	6078.997	1474560	0.0041226
Uterus_E4	Uterus	Elderly	6528.899	1287098	0.0050726
Uterus_E5	Uterus	Elderly	7546.184	1474560	0.0051176
Thyroid_gland_J1	Thyroid_gland	Juvenile	0.654036	1474560	4e-07
Thyroid_gland_J2	Thyroid_gland	Juvenile	0.469405	1474560	3e-07
Thyroid_gland_J3	Thyroid_gland	Juvenile	0.811283	1474560	6e-07
Thyroid_gland_J4	Thyroid_gland	Juvenile	0.679222	1474560	5e-07
Thyroid_gland_J5	Thyroid_gland	Juvenile	0.84679	1474560	6e-07
Thyroid_gland_Y1	Thyroid_gland	Young	10.06867	1474560	6.8e-06
Thyroid_gland_Y2	Thyroid_gland	Young	4.583689	1474560	3.1e-06
Thyroid_gland_Y3	Thyroid_gland	Young	2.509503	1474560	1.7e-06
Thyroid_gland_Y4	Thyroid_gland	Young	2.041402	1326111	1.5e-06
Thyroid_gland_Y5	Thyroid_gland	Young	10.22411	1474560	6.9e-06
Thyroid_gland_E1	Thyroid_gland	Elderly	704.9032	1474560	0.000478
Thyroid_gland_E2	Thyroid_gland	Elderly	858.265	1474560	0.000582
Thyroid_gland_E3	Thyroid_gland	Elderly	640.7695	830416	0.0007716
Thyroid_gland_E4	Thyroid_gland	Elderly	1008.173	1352621	0.0007453
Thyroid_gland_E5	Thyroid_gland	Elderly	1077.981	1218122	0.000885
Stomach_J1	Stomach	Juvenile	1.050602	1474560	7e-07
Stomach_J2	Stomach	Juvenile	0.501551	1444088	3e-07
Stomach_J3	Stomach	Juvenile	0.709214	1474560	5e-07
Stomach_J4	Stomach	Juvenile	1.076835	1474560	7e-07
Stomach_J5	Stomach	Juvenile	0.969469	1474560	7e-07
Stomach_Y1	Stomach	Young	4.070755	1383898	2.9e-06
Stomach_Y2	Stomach	Young	6.357197	1213665	5.2e-06
Stomach_Y3	Stomach	Young	8.330262	1474560	5.6e-06
Stomach_Y4	Stomach	Young	11.89326	1474560	8.1e-06
Stomach_Y5	Stomach	Young	11.92721	1474560	8.1e-06
Stomach_E1	Stomach	Elderly	5275.733	1331832	0.0039613
Stomach_E2	Stomach	Elderly	6640.869	1419721	0.0046776
Stomach_E3	Stomach	Elderly	5302.117	1074233	0.0049357
Stomach_E4	Stomach	Elderly	7555.095	1474560	0.0051236
Stomach_E5	Stomach	Elderly	7887.455	1474560	0.005349
Pancreas_J1	Pancreas	Juvenile	543.2749	1474560	0.000368432
Pancreas_J2	Pancreas	Juvenile	689.7276	1474560	0.000467751
Pancreas_J3	Pancreas	Juvenile	404.4623	1474560	0.000274294
Pancreas_J4	Pancreas	Juvenile	897.843	1474560	0.000608889
Pancreas_Y1	Pancreas	Young	429.4596	1474560	0.000291246
Pancreas_Y2	Pancreas	Young	543.9947	1474560	0.00036892
Pancreas_Y3	Pancreas	Young	686.0853	1474560	0.000465281
Pancreas_Y4	Pancreas	Young	760.4302	1474560	0.0005157
Pancreas_Y5	Pancreas	Young	793.6538	1474560	0.000538231
Pancreas_E1	Pancreas	Elderly	1089.234	1474560	0.000738684
Pancreas_E2	Pancreas	Elderly	1173.073	1474560	0.000795541
Pancreas_E3	Pancreas	Elderly	812.442	1474560	0.000550972
Pancreas_E4	Pancreas	Elderly	880.6318	1474560	0.000597217
Pancreas_E5	Pancreas	Elderly	1136.406	1474560	0.000770675
Skin_of_back_J1	Skin_of_back	Juvenile	4532.607	1474560	0.003073871
Skin_of_back_J2	Skin_of_back	Juvenile	5382.377	1474560	0.003650158
Skin_of_back_J3	Skin_of_back	Juvenile	4700.663	1474560	0.003187841
