"","Samplename","id","age","type","stage","tissues","RIN","batch"
"X06070_Skin_of_back","X06070_Skin_of_back","X06070",14,"Middle_aged",3,"Skin_of_back","7.9","batch1"
"X06070_Lung","X06070_Lung","X06070",14,"Middle_aged",3,"Lung","7.9","batch1"
"X06070_Abdominal_aorta","X06070_Abdominal_aorta","X06070",14,"Middle_aged",3,"Abdominal_aorta","7.5","batch1"
"X06070_Liver","X06070_Liver","X06070",14,"Middle_aged",3,"Liver","8.4","batch1"
"X06070_Arteria_cruralis","X06070_Arteria_cruralis","X06070",14,"Middle_aged",3,"Arteria_cruralis","8.1","batch1"
"X06070_Femoral_vein","X06070_Femoral_vein","X06070",14,"Middle_aged",3,"Femoral_vein","8.3","batch1"
"X06070_Ileocecum","X06070_Ileocecum","X06070",14,"Middle_aged",3,"Ileocecum","7.3","batch1"
"X06070_Arteria_carotis","X06070_Arteria_carotis","X06070",14,"Middle_aged",3,"Arteria_carotis","7.9","batch1"
"X06070_Muscle","X06070_Muscle","X06070",14,"Middle_aged",3,"Muscle","8.2","batch1"
"X06070_Ovary","X06070_Ovary","X06070",14,"Middle_aged",3,"Ovary","8","batch1"
"X06070_Cecum","X06070_Cecum","X06070",14,"Middle_aged",3,"Cecum","6.6","batch1"
"X06070_Spleen","X06070_Spleen","X06070",14,"Middle_aged",3,"Spleen","9","batch1"
"X06070_Kidney","X06070_Kidney","X06070",14,"Middle_aged",3,"Kidney","7.2","batch1"
"X06070_Adrenal_gland","X06070_Adrenal_gland","X06070",14,"Middle_aged",3,"Adrenal_gland","8.8","batch1"
"X06070_Duodenum","X06070_Duodenum","X06070",14,"Middle_aged",3,"Duodenum","6.9","batch1"
"X06070_Fallopian_tube","X06070_Fallopian_tube","X06070",14,"Middle_aged",3,"Fallopian_tube","8.5","batch1"
"X06070_Inferior_vena_cava","X06070_Inferior_vena_cava","X06070",14,"Middle_aged",3,"Inferior_vena_cava","7.3","batch1"
"X06070_Heart","X06070_Heart","X06070",14,"Middle_aged",3,"Heart","7.9","batch1"
"X06070_Thymus","X06070_Thymus","X06070",14,"Middle_aged",3,"Thymus","7.6","batch1"
"X06070_Facial_skin","X06070_Facial_skin","X06070",14,"Middle_aged",3,"Facial_skin","7.5","batch1"
"X06070_Pancreas","X06070_Pancreas","X06070",14,"Middle_aged",3,"Pancreas","6.6","batch1"
"X06070_Adipose","X06070_Adipose","X06070",14,"Middle_aged",3,"Adipose","8.8","batch1"
"X06070_Uterus","X06070_Uterus","X06070",14,"Middle_aged",3,"Uterus","8.1","batch1"
"X06080_Skin_of_back","X06080_Skin_of_back","X06080",14,"Middle_aged",3,"Skin_of_back","6.7","batch1"
"X06080_Lung","X06080_Lung","X06080",14,"Middle_aged",3,"Lung","8.9","batch1"
"X06080_Liver","X06080_Liver","X06080",14,"Middle_aged",3,"Liver","8","batch1"
"X06080_Arteria_cruralis","X06080_Arteria_cruralis","X06080",14,"Middle_aged",3,"Arteria_cruralis","8.2","batch1"
"X06080_Femoral_vein","X06080_Femoral_vein","X06080",14,"Middle_aged",3,"Femoral_vein","7.9","batch1"
"X06080_Ileocecum","X06080_Ileocecum","X06080",14,"Middle_aged",3,"Ileocecum","7.2","batch1"
"X06080_Thyroid_gland","X06080_Thyroid_gland","X06080",14,"Middle_aged",3,"Thyroid_gland","7.6","batch1"
"X06080_Arteria_carotis","X06080_Arteria_carotis","X06080",14,"Middle_aged",3,"Arteria_carotis","8.5","batch1"
"X06080_Muscle","X06080_Muscle","X06080",14,"Middle_aged",3,"Muscle","8","batch1"
"X06080_Ovary","X06080_Ovary","X06080",14,"Middle_aged",3,"Ovary","8.1","batch1"
"X06080_Cecum","X06080_Cecum","X06080",14,"Middle_aged",3,"Cecum","7.2","batch1"
"X06080_Spleen","X06080_Spleen","X06080",14,"Middle_aged",3,"Spleen","8.5","batch1"
"X06080_Kidney","X06080_Kidney","X06080",14,"Middle_aged",3,"Kidney","8","batch1"
"X06080_Adrenal_gland","X06080_Adrenal_gland","X06080",14,"Middle_aged",3,"Adrenal_gland","8.8","batch1"
"X06080_Fallopian_tube","X06080_Fallopian_tube","X06080",14,"Middle_aged",3,"Fallopian_tube","7.9","batch1"
"X06080_Stomach","X06080_Stomach","X06080",14,"Middle_aged",3,"Stomach","7.2","batch1"
"X06080_Inferior_vena_cava","X06080_Inferior_vena_cava","X06080",14,"Middle_aged",3,"Inferior_vena_cava","7.3","batch1"
"X06080_Heart","X06080_Heart","X06080",14,"Middle_aged",3,"Heart","7.6","batch1"
"X06080_Thymus","X06080_Thymus","X06080",14,"Middle_aged",3,"Thymus","8","batch1"
"X06080_Facial_skin","X06080_Facial_skin","X06080",14,"Middle_aged",3,"Facial_skin","7.9","batch1"
"X06080_Pancreas","X06080_Pancreas","X06080",14,"Middle_aged",3,"Pancreas","7","batch1"
"X06080_Adipose","X06080_Adipose","X06080",14,"Middle_aged",3,"Adipose","6.2","batch1"
"X06338_Skin_of_back","X06338_Skin_of_back","X06338",14,"Middle_aged",3,"Skin_of_back","7.9","batch1"
"X06338_Lung","X06338_Lung","X06338",14,"Middle_aged",3,"Lung","8.1","batch1"
"X06338_Abdominal_aorta","X06338_Abdominal_aorta","X06338",14,"Middle_aged",3,"Abdominal_aorta","8.4","batch1"
"X06338_Liver","X06338_Liver","X06338",14,"Middle_aged",3,"Liver","8.3","batch1"
"X06338_Arteria_cruralis","X06338_Arteria_cruralis","X06338",14,"Middle_aged",3,"Arteria_cruralis","7.9","batch1"
"X06338_Femoral_vein","X06338_Femoral_vein","X06338",14,"Middle_aged",3,"Femoral_vein","7.9","batch1"
"X06338_Ileocecum","X06338_Ileocecum","X06338",14,"Middle_aged",3,"Ileocecum","6.6","batch1"
"X06338_Thyroid_gland","X06338_Thyroid_gland","X06338",14,"Middle_aged",3,"Thyroid_gland","7.6","batch1"
"X06338_Arteria_carotis","X06338_Arteria_carotis","X06338",14,"Middle_aged",3,"Arteria_carotis","7.7","batch1"
"X06338_Muscle","X06338_Muscle","X06338",14,"Middle_aged",3,"Muscle","8.5","batch1"
"X06338_Ovary","X06338_Ovary","X06338",14,"Middle_aged",3,"Ovary","8.2","batch1"
"X06338_Cecum","X06338_Cecum","X06338",14,"Middle_aged",3,"Cecum","7.8","batch1"
"X06338_Spleen","X06338_Spleen","X06338",14,"Middle_aged",3,"Spleen","8.7","batch1"
"X06338_Kidney","X06338_Kidney","X06338",14,"Middle_aged",3,"Kidney","8.1","batch1"
"X06338_Adrenal_gland","X06338_Adrenal_gland","X06338",14,"Middle_aged",3,"Adrenal_gland","8.6","batch1"
"X06338_Duodenum","X06338_Duodenum","X06338",14,"Middle_aged",3,"Duodenum","6.3","batch1"
"X06338_Fallopian_tube","X06338_Fallopian_tube","X06338",14,"Middle_aged",3,"Fallopian_tube","8.4","batch1"
"X06338_Stomach","X06338_Stomach","X06338",14,"Middle_aged",3,"Stomach","6.6","batch1"
"X06338_Inferior_vena_cava","X06338_Inferior_vena_cava","X06338",14,"Middle_aged",3,"Inferior_vena_cava","7.7","batch1"
"X06338_Heart","X06338_Heart","X06338",14,"Middle_aged",3,"Heart","7.9","batch1"
"X06338_Thymus","X06338_Thymus","X06338",14,"Middle_aged",3,"Thymus","7.1","batch1"
"X06338_Facial_skin","X06338_Facial_skin","X06338",14,"Middle_aged",3,"Facial_skin","7.5","batch1"
"X06338_Pancreas","X06338_Pancreas","X06338",14,"Middle_aged",3,"Pancreas","7.3","batch1"
"X06338_Adipose","X06338_Adipose","X06338",14,"Middle_aged",3,"Adipose","8.8","batch1"
"X06338_Aortic_arch","X06338_Aortic_arch","X06338",14,"Middle_aged",3,"Aortic_arch","8.7","batch1"
"X06338_Uterus","X06338_Uterus","X06338",14,"Middle_aged",3,"Uterus","8","batch1"
"X16086_Arteria_cruralis","X16086_Arteria_cruralis","X16086",3,"Juvenile",1,"Arteria_cruralis","6.1","batch1"
"X06070_Supramarginal_gyrus","X06070_Supramarginal_gyrus","X06070",14,"Middle_aged",3,"Supramarginal_gyrus","6.5","batch1"
"X06070_Superior_temporal_gyrus","X06070_Superior_temporal_gyrus","X06070",14,"Middle_aged",3,"Superior_temporal_gyrus","7.5","batch1"
"X06070_Hippocampus","X06070_Hippocampus","X06070",14,"Middle_aged",3,"Hippocampus","7.1","batch1"
"X06070_Hypothalamus","X06070_Hypothalamus","X06070",14,"Middle_aged",3,"Hypothalamus","6.2","batch1"
"X06070_Pituitary","X06070_Pituitary","X06070",14,"Middle_aged",3,"Pituitary","8.4","batch1"
"X06070_Frontal_pole","X06070_Frontal_pole","X06070",14,"Middle_aged",3,"Frontal_pole","7.3","batch1"
"X06080_Supramarginal_gyrus","X06080_Supramarginal_gyrus","X06080",14,"Middle_aged",3,"Supramarginal_gyrus","7.3","batch1"
"X06080_Superior_temporal_gyrus","X06080_Superior_temporal_gyrus","X06080",14,"Middle_aged",3,"Superior_temporal_gyrus","7.5","batch1"
"X06080_Hippocampus","X06080_Hippocampus","X06080",14,"Middle_aged",3,"Hippocampus","6.1","batch1"
"X06080_Pituitary","X06080_Pituitary","X06080",14,"Middle_aged",3,"Pituitary","8.5","batch1"
"X06080_Frontal_pole","X06080_Frontal_pole","X06080",14,"Middle_aged",3,"Frontal_pole","7.6","batch1"
"X06338_Supramarginal_gyrus","X06338_Supramarginal_gyrus","X06338",14,"Middle_aged",3,"Supramarginal_gyrus","7.2","batch1"
"X06338_Superior_temporal_gyrus","X06338_Superior_temporal_gyrus","X06338",14,"Middle_aged",3,"Superior_temporal_gyrus","6.8","batch1"
"X06338_Hippocampus","X06338_Hippocampus","X06338",14,"Middle_aged",3,"Hippocampus","6.5","batch1"
"X06338_Hypothalamus","X06338_Hypothalamus","X06338",14,"Middle_aged",3,"Hypothalamus","6.5","batch1"
"X06338_Pituitary","X06338_Pituitary","X06338",14,"Middle_aged",3,"Pituitary","8.9","batch1"
"X06338_Frontal_pole","X06338_Frontal_pole","X06338",14,"Middle_aged",3,"Frontal_pole","6.9","batch1"
"X11062_Superior_temporal_gyrus","X11062_Superior_temporal_gyrus","X11062",8,"Young_adult",2,"Superior_temporal_gyrus","7.3","batch2"
"X11062_Hippocampus","X11062_Hippocampus","X11062",8,"Young_adult",2,"Hippocampus","6.6","batch2"
"X11062_Hypothalamus","X11062_Hypothalamus","X11062",8,"Young_adult",2,"Hypothalamus","6.7","batch2"
"X11062_Pituitary","X11062_Pituitary","X11062",8,"Young_adult",2,"Pituitary","7.7","batch2"
"X11062_Frontal_pole","X11062_Frontal_pole","X11062",8,"Young_adult",2,"Frontal_pole","7.4","batch2"
"X11062_Skin_of_back","X11062_Skin_of_back","X11062",8,"Young_adult",2,"Skin_of_back","8.6","batch2"
"X11062_Lung","X11062_Lung","X11062",8,"Young_adult",2,"Lung","7.8","batch2"
"X11062_Abdominal_aorta","X11062_Abdominal_aorta","X11062",8,"Young_adult",2,"Abdominal_aorta","8.2","batch2"
"X11062_Liver","X11062_Liver","X11062",8,"Young_adult",2,"Liver","8","batch2"
"X11062_Arteria_cruralis","X11062_Arteria_cruralis","X11062",8,"Young_adult",2,"Arteria_cruralis","8.2","batch2"
"X11062_Femoral_vein","X11062_Femoral_vein","X11062",8,"Young_adult",2,"Femoral_vein","7.8","batch2"
"X11062_Ileocecum","X11062_Ileocecum","X11062",8,"Young_adult",2,"Ileocecum","7","batch2"
"X11062_Arteria_carotis","X11062_Arteria_carotis","X11062",8,"Young_adult",2,"Arteria_carotis","6.8","batch2"
"X11062_Muscle","X11062_Muscle","X11062",8,"Young_adult",2,"Muscle","7.7","batch2"
"X11062_Ovary","X11062_Ovary","X11062",8,"Young_adult",2,"Ovary","7.5","batch2"
"X11062_Cecum","X11062_Cecum","X11062",8,"Young_adult",2,"Cecum","7.4","batch2"
"X11062_Spleen","X11062_Spleen","X11062",8,"Young_adult",2,"Spleen","7.8","batch2"
"X11062_Kidney","X11062_Kidney","X11062",8,"Young_adult",2,"Kidney","7.8","batch2"
"X11062_Adrenal_gland","X11062_Adrenal_gland","X11062",8,"Young_adult",2,"Adrenal_gland","8","batch2"
"X11062_Duodenum","X11062_Duodenum","X11062",8,"Young_adult",2,"Duodenum","7.5","batch2"
