gene,pi_tissue_slope_rho,pi_tissue_slope_p,pi_tissue_young
WASH7P,1.0,0.0,0.48762888
RP11-34P13.15,-1.0,0.0,0.89337623
RP11-34P13.16,-1.0,0.0,0.88655525
RP11-34P13.18,-0.7999999999999999,0.20000000000000007,0.5290077
MTND1P23,0.6000000000000001,0.3999999999999999,0.07542305
MTND2P28,-0.7999999999999999,0.20000000000000007,0.7637599
MTCO1P12,-0.7999999999999999,0.20000000000000007,0.6551431
MTCO2P12,-0.7999999999999999,0.20000000000000007,0.43457478
MTATP8P1,-0.7999999999999999,0.20000000000000007,0.32913932
MTATP6P1,-0.7999999999999999,0.20000000000000007,0.88357097
MTCO3P12,0.19999999999999998,0.8,0.2719464
RP11-206L10.2,-1.0,0.0,0.61125237
RP11-206L10.9,0.19999999999999998,0.8,0.621843
RP11-206L10.8,0.7999999999999999,0.20000000000000007,0.36678988
FAM87B,0.7999999999999999,0.20000000000000007,0.7034089
LINC01128,-0.6000000000000001,0.3999999999999999,0.8727006
LINC00115,0.19999999999999998,0.8,0.6449687
RP11-54O7.3,0.7999999999999999,0.20000000000000007,0.69220716
SAMD11,1.0,0.0,0.70272094
NOC2L,-0.7999999999999999,0.20000000000000007,0.8025261
KLHL17,-0.7999999999999999,0.20000000000000007,0.80815345
PLEKHN1,0.7999999999999999,0.20000000000000007,0.9394174
PERM1,0.6000000000000001,0.3999999999999999,0.9280377
RP11-54O7.17,-0.39999999999999997,0.6,0.6780107
HES4,-0.7999999999999999,0.20000000000000007,0.8078458
ISG15,-0.39999999999999997,0.6,0.5942148
AGRN,-0.39999999999999997,0.6,0.9420785
RP11-465B22.3,-0.19999999999999998,0.8,0.84392637
C1orf159,-0.7999999999999999,0.20000000000000007,0.8590788
TNFRSF18,0.7999999999999999,0.20000000000000007,0.76804304
TNFRSF4,-0.7999999999999999,0.20000000000000007,0.5878377
SDF4,-1.0,0.0,0.76743394
B3GALT6,0.7999999999999999,0.20000000000000007,0.58379036
C1QTNF12,-0.19999999999999998,0.8,0.6899987
RP5-902P8.12,0.39999999999999997,0.6,0.41840392
UBE2J2,1.0,0.0,0.4396771
LINC01786,-0.7999999999999999,0.20000000000000007,0.7222766
SCNN1D,-0.7999999999999999,0.20000000000000007,0.72515285
ACAP3,-0.39999999999999997,0.6,0.73859
PUSL1,0.19999999999999998,0.8,0.74278104
INTS11,-0.7999999999999999,0.20000000000000007,0.74048394
RP5-890O3.9,-1.0,0.0,0.8213154
CPTP,0.7999999999999999,0.20000000000000007,0.4995366
TAS1R3,-0.7999999999999999,0.20000000000000007,0.43386915
DVL1,-0.7999999999999999,0.20000000000000007,0.90992355
MXRA8,1.0,0.0,0.9208147
AURKAIP1,0.7999999999999999,0.20000000000000007,0.19736604
CCNL2,-1.0,0.0,0.85786194
RP4-758J18.2,-0.39999999999999997,0.6,0.7417084
MRPL20,0.19999999999999998,0.8,0.7789292
RP4-758J18.13,-1.0,0.0,0.6955723
ANKRD65,0.0,1.0,0.80865604
RP4-758J18.7,1.0,0.0,0.5886105
LINC01770,-0.7999999999999999,0.20000000000000007,0.802736
VWA1,-0.39999999999999997,0.6,0.9353895
ATAD3C,-1.0,0.0,0.91467613
ATAD3B,-1.0,0.0,0.77680993
ATAD3A,-0.7999999999999999,0.20000000000000007,0.7690037
TMEM240,0.7999999999999999,0.20000000000000007,0.69523823
SSU72,0.7999999999999999,0.20000000000000007,0.39547712
RP5-832C2.5,-0.39999999999999997,0.6,0.6441117
FNDC10,0.6000000000000001,0.3999999999999999,0.8461836
RP11-345P4.9,0.19999999999999998,0.8,0.8518921
MIB2,-0.7999999999999999,0.20000000000000007,0.68728817
CDK11B,-0.7999999999999999,0.20000000000000007,0.46178326
SLC35E2B,-0.39999999999999997,0.6,0.46959817
RP11-345P4.6,-0.7999999999999999,0.20000000000000007,0.5998406
CDK11A,1.0,0.0,0.24685009
RP1-283E3.4,0.39999999999999997,0.6,0.4559538
SLC35E2,0.39999999999999997,0.6,0.5378946
NADK,-1.0,0.0,0.858613
GNB1,-1.0,0.0,0.90353423
RP1-140A9.1,-0.39999999999999997,0.6,0.52736396
CALML6,0.7999999999999999,0.20000000000000007,0.57030576
TMEM52,0.7999999999999999,0.20000000000000007,0.91768014
PRKCZ,0.19999999999999998,0.8,0.92307246
PRKCZ-AS1,-0.7999999999999999,0.20000000000000007,0.82310313
FAAP20,-0.39999999999999997,0.6,0.8179603
SKI,-0.7999999999999999,0.20000000000000007,0.84717745
MORN1,-0.7999999999999999,0.20000000000000007,0.90821433
RP4-740C4.5,-0.39999999999999997,0.6,0.8596846
RP4-740C4.7,0.6000000000000001,0.3999999999999999,0.72573936
RER1,0.7999999999999999,0.20000000000000007,0.5885325
PEX10,-0.19999999999999998,0.8,0.87154186
PLCH2,-0.19999999999999998,0.8,0.9108582
PANK4,-0.7999999999999999,0.20000000000000007,0.51925915
HES5,-0.39999999999999997,0.6,0.69877267
RP3-395M20.12,0.39999999999999997,0.6,0.76681983
RP3-395M20.8,-0.19999999999999998,0.8,0.7276772
TNFRSF14,-0.19999999999999998,0.8,0.82266533
RP3-395M20.9,1.0,0.0,0.3902506
FAM213B,-0.39999999999999997,0.6,0.8601574
LINC00982,0.0,1.0,0.93139964
PRDM16,-0.19999999999999998,0.8,0.9464167
ARHGEF16,0.7999999999999999,0.20000000000000007,0.90318865
MEGF6,-0.7999999999999999,0.20000000000000007,0.80562955
RP11-46F15.2,-0.7999999999999999,0.20000000000000007,0.5783973
TPRG1L,0.39999999999999997,0.6,0.62657076
WRAP73,0.7999999999999999,0.20000000000000007,0.52679867
TP73-AS1,-0.39999999999999997,0.6,0.88199306
SMIM1,0.19999999999999998,0.8,0.74373215
LRRC47,-0.19999999999999998,0.8,0.8905646
RN7SL574P,0.0,1.0,0.47351822
RP1-286D6.5,-0.39999999999999997,0.6,0.7573216
CEP104,-1.0,0.0,0.8497634
DFFB,-0.7999999999999999,0.20000000000000007,0.6990911
C1orf174,-0.7999999999999999,0.20000000000000007,0.73889583
NPHP4,-0.7999999999999999,0.20000000000000007,0.88029337
KCNAB2,-1.0,0.0,0.7683278
RPL22,-0.19999999999999998,0.8,0.8464073
RP1-120G22.11,0.19999999999999998,0.8,0.6959007
RNF207,-1.0,0.0,0.87871814
ICMT,-0.19999999999999998,0.8,0.86294526
GPR153,-1.0,0.0,0.864796
ACOT7,-0.7999999999999999,0.20000000000000007,0.87850523
TNFRSF25,-0.7999999999999999,0.20000000000000007,0.78612196
PLEKHG5,0.0,1.0,0.90678865
NOL9,-0.39999999999999997,0.6,0.77764004
ZBTB48,-1.0,0.0,0.7601536
KLHL21,-0.7999999999999999,0.20000000000000007,0.5784111
PHF13,-1.0,0.0,0.828621
THAP3,0.19999999999999998,0.8,0.7118096
DNAJC11,-0.39999999999999997,0.6,0.87509376
CAMTA1,-0.7999999999999999,0.20000000000000007,0.9058342
RP11-338N10.3,0.7999999999999999,0.20000000000000007,0.40900823
VAMP3,-0.19999999999999998,0.8,0.7705418
RP3-467L1.6,0.19999999999999998,0.8,0.5559233
PER3,-0.39999999999999997,0.6,0.8159585
RP3-467L1.4,-0.19999999999999998,0.8,0.58361286
PARK7,-0.39999999999999997,0.6,0.84328455
ERRFI1,-1.0,0.0,0.84533334
SLC45A1,0.39999999999999997,0.6,0.87421054
RERE,0.7999999999999999,0.20000000000000007,0.64751196
RP5-1115A15.1,-1.0,0.0,0.6088051
ENO1,0.39999999999999997,0.6,0.6868413
SLC2A5,0.19999999999999998,0.8,0.48077992
GPR157,0.7999999999999999,0.20000000000000007,0.8905941
