gene,pi_tumor,pi_patient,pi_residual
MMP11,0.41480403869958365,0.34667263996437625,0.23852332133604015
CLEC3B,0.4017530964991451,0.3102438113402606,0.28800309216059433
TNXB,0.38212035212488876,0.3042636320898428,0.31361601578526843
SPC24,0.37768222572822413,0.42484396912523126,0.1974738051465446
NME1,0.37437321115974864,0.3358187422786973,0.289808046561554
C16orf59,0.3740952374329552,0.36313137246016214,0.26277339010688266
PKMYT1,0.37068747024521576,0.44540231811572006,0.18391021163906418
UHRF1,0.36213937482109904,0.46395048803944944,0.17391013713945155
TOP2A,0.36194893327392613,0.4605286014060594,0.17752246532001445
LYVE1,0.36148769873497727,0.3690915923124508,0.26942070895257186
ANGPTL1,0.35928219281476187,0.3764503404622954,0.2642674667229427
UBE2C,0.3589168326901654,0.4842743913901834,0.15680877591965123
ABCA8,0.35402627310001566,0.3525351782812652,0.29343854861871915
GARS,0.35125324289927584,0.36671571527962715,0.282031041821097
TPX2,0.3493222549574304,0.4767092413285024,0.17396850371406722
E2F1,0.3489510207229926,0.4335102079407637,0.21753877133624366
FOXM1,0.3485151131338197,0.4619857208565855,0.1894991660095948
TROAP,0.34817830655842946,0.464014619566988,0.1878070738745825
PCLAF,0.3463108776236264,0.43102031919060263,0.22266880318577095
MT1M,0.3461465006402081,0.3920968303908504,0.2617566689689415
FXYD1,0.3455130622035065,0.38364373399428686,0.27084320380220667
UBE2T,0.34392226563688716,0.4142138766323275,0.24186385773078536
KIF20A,0.3429787302937062,0.46603657922450675,0.19098469048178704
MELK,0.3425821662637313,0.4821614982771837,0.17525633545908503
NDRG2,0.3399252550237892,0.4166921050463191,0.2433826399298917
PPP1R14B,0.3397617631161506,0.4437035365859417,0.21653470029790772
ADH1B,0.3378533895354923,0.47125481774566624,0.19089179271884144
ASF1B,0.3372464136895106,0.47883097785159107,0.18392260845889832
FAM107A,0.33713970008526184,0.4258602063102992,0.23700009360443897
CDC45,0.3371288637190923,0.4745876422291959,0.1882834940517118
FAM111B,0.33557721637461424,0.4714781701151271,0.19294461351025866
PI16,0.33350060837205264,0.4458379085406967,0.22066148308725061
CENPF,0.33154661378528194,0.5020151138821433,0.16643827233257483
BUB1,0.3307883228487308,0.5031431713776934,0.16606850577357588
CENPU,0.3266573951030272,0.482353649782773,0.19098895511419978
BIRC5,0.3259387998076051,0.49265068680762797,0.18141051338476694
DNASE1L3,0.325777900824251,0.4332179618850615,0.24100413729068748
PRC1,0.3246254828075145,0.46336038517546074,0.21201413201702468
GINS2,0.3229442775292466,0.43797458711697707,0.23908113535377631
CDT1,0.3217109104967798,0.471659191413025,0.20662989809019525
CDCA5,0.3214093681900607,0.47623066313521645,0.20235996867472286
CDCA3,0.32138427324922014,0.44672145381238654,0.23189427293839332
