"","donor","tissue","age_mid","Residuals"
"TADA3",0.0627018220019663,0.307840674926484,0.0182184311238565,0.611239071947693
"RAI14",0.0107488842959271,0.93786343612258,0.00193306429311986,0.0494546152883733
"RNU6-312P",0.0574781092321174,0.519686724780249,0.0121420749979129,0.410693090989721
"LAMTOR2",0.0642439516309597,0.30269560566539,0.0164145183206255,0.616645924383025
"RASAL2",0.00579781995597289,0.941296553538816,7.11724706105405e-05,0.0528344540346001
"USP1",0.0158860171787744,0.671469794778622,0.00179890539897736,0.310845282643626
"BCL2L11",0.0167045930548881,0.57384921824232,4.11000244140015e-05,0.409405088678378
"PLRG1",0.00691217684204124,0.819297665205222,0.00139189498982617,0.17239826296291
"LAPTM5",0.0109373743010333,0.900070297143205,0.000115008138165935,0.0888773204175952
"CETN3",0.0293223892427972,0.873596173009053,0.000880286671899853,0.0962011510762502
"HAND2",0.0147051801297949,0.808662934948408,0.000661129661805343,0.175970755259992
"MCEE",0.00875069902729194,0.849538916252127,0.000775400258773874,0.140934984461807
"CH17-472G23.2",0.0834846955082275,0.701301193129573,0.000559681714033507,0.214654429648166
"RACK1",0,0.573083901210268,3.2011068165313e-05,0.426884087721567
"FMO5",0.0353323511831832,0.747882425342386,0.00161609804555171,0.215169125428879
"SELENBP1",0.0471519900069426,0.609915449222027,0.000116258251255296,0.342816302519775
"FAHD2A",0.0109076446722153,0.879020017266666,0.000948930628635477,0.109123407432484
"RP1-40E16.12",0.23189945585061,0.369609268743389,2.95053673595961e-05,0.398461770038642
"EXOC3-AS1",0.0731849650604542,0.721994130915947,2.14939395107677e-06,0.204818754629648
"RSBN1",0.0539514829002684,0.307649477500559,0.00196635097786277,0.63643268862131
"NEK1",0.0298477672260195,0.864038364706737,0.000182423239881592,0.105931444827362
"ZNF436-AS1",0.030161794931371,0.832113944083741,0.00181934942525209,0.135904911559636
"KCNQ4",0.00392025378800902,0.84814989126165,0.000922861214385634,0.147006993735955
"MAP4K4",0.0438171390066679,0.423283258232273,0.000991616765816272,0.531907985995243
