tissue,n_decades,rho_A_vs_age,p_A_vs_age,rho_P_vs_age,p_P_vs_age,rho_D_vs_age,p_D_vs_age
Muscle - Skeletal,6,0.7714285714285715,0.07239650145772594,0.14285714285714288,0.7871720116618075,0.3714285714285715,0.46847813411078715
Whole Blood,6,0.3714285714285715,0.46847813411078715,0.7142857142857143,0.1107871720116617,0.8857142857142858,0.01884548104956266
Skin - Sun Exposed (Lower leg),6,0.6,0.20799999999999982,-0.7714285714285715,0.07239650145772594,0.2571428571428572,0.6227871720116618
Adipose - Subcutaneous,6,0.3142857142857143,0.5440932944606414,0.08571428571428573,0.8717434402332361,0.6,0.20799999999999982
Artery - Tibial,5,-0.7,0.18812040437418728,-0.09999999999999999,0.8728885715695383,-0.7,0.18812040437418728
Thyroid,6,0.4285714285714286,0.3965014577259474,-0.08571428571428573,0.8717434402332361,0.48571428571428577,0.3287230320699709
Nerve - Tibial,6,-0.7714285714285715,0.07239650145772594,0.08571428571428573,0.8717434402332361,-0.6,0.20799999999999982
Skin - Not Sun Exposed (Suprapubic),6,0.6,0.20799999999999982,-0.3142857142857143,0.5440932944606414,0.7142857142857143,0.1107871720116617
Lung,6,-0.4285714285714286,0.3965014577259474,0.4285714285714286,0.3965014577259474,0.4285714285714286,0.3965014577259474
Esophagus - Mucosa,5,-0.7,0.18812040437418728,0.8999999999999998,0.03738607346849875,0.09999999999999999,0.8728885715695383
Adipose - Visceral (Omentum),5,-0.6,0.28475697986529375,-0.39999999999999997,0.5046315754686911,-0.8999999999999998,0.03738607346849875
Esophagus - Muscularis,5,-0.3,0.6238376647810728,-0.19999999999999998,0.747060078104662,-0.3,0.6238376647810728
Cells - Cultured fibroblasts,5,-0.7,0.18812040437418728,-0.3,0.6238376647810728,-0.7,0.18812040437418728
Breast - Mammary Tissue,5,-0.6,0.28475697986529375,0.3,0.6238376647810728,-0.19999999999999998,0.747060078104662
Artery - Aorta,5,-0.09999999999999999,0.8728885715695383,0.6,0.28475697986529375,0.09999999999999999,0.8728885715695383
Heart - Left Ventricle,4,-0.39999999999999997,0.6,0.39999999999999997,0.6,-0.39999999999999997,0.6
Colon - Transverse,5,-0.39999999999999997,0.5046315754686911,0.39999999999999997,0.5046315754686911,-0.6,0.28475697986529375
Colon - Sigmoid,5,-0.09999999999999999,0.8728885715695383,0.7,0.18812040437418728,0.49999999999999994,0.39100221895577053
Esophagus - Gastroesophageal Junction,5,-0.49999999999999994,0.39100221895577053,0.09999999999999999,0.8728885715695383,-0.49999999999999994,0.39100221895577053
Stomach,5,0.0,1.0,-0.3,0.6238376647810728,-0.8999999999999998,0.03738607346849875
Testis,5,0.7,0.18812040437418728,-0.3,0.6238376647810728,0.6,0.28475697986529375
Pancreas,5,-0.6,0.28475697986529375,0.7,0.18812040437418728,0.3,0.6238376647810728
Adrenal Gland,4,0.39999999999999997,0.6,0.19999999999999998,0.8,0.39999999999999997,0.6
Spleen,5,0.09999999999999999,0.8728885715695383,-0.19999999999999998,0.747060078104662,-0.09999999999999999,0.8728885715695383
Prostate,5,0.8999999999999998,0.03738607346849875,-0.8999999999999998,0.03738607346849875,-0.49999999999999994,0.39100221895577053
Small Intestine - Terminal Ileum,5,0.09999999999999999,0.8728885715695383,0.7,0.18812040437418728,0.09999999999999999,0.8728885715695383
