tissue,category,label,tf,target,n_all,rho_all,p_all,tf_mean_log2tpm,tgt_mean_log2tpm,rho_20-29,p_20-29,n_20-29,rho_30-39,p_30-39,n_30-39,rho_40-49,p_40-49,n_40-49,rho_50-59,p_50-59,n_50-59,rho_60-69,p_60-69,n_60-69,rho_70-79,p_70-79,n_70-79,rho_male,p_male,n_male,rho_female,p_female,n_female
Muscle - Skeletal,production,SMAD3→COL1A1,SMAD3,COL1A1,772,0.16334011853174363,5.074036829834156e-06,4.899013501374832,3.309005925538009,0.3358611318466624,0.009305533248025593,59.0,0.18088357877188113,0.16663934829738392,60.0,0.05712861415752743,0.5371517202728997,119.0,0.12220922861789897,0.05509556668184394,247,0.06770759775083,0.2757789957600542,261,0.10769230769230768,0.6005250068723842,26.0,0.15219985241419023,0.0004902797752161826,521.0,0.20697956303839313,0.0009716925832331306,251.0
Muscle - Skeletal,production,SMAD3→COL3A1,SMAD3,COL3A1,772,0.09784276287472612,0.006514867866917171,4.899013501374832,4.072452243127971,0.2789929718733216,0.03236915868302621,59.0,0.11275510913993317,0.3910224640808956,60.0,0.04511117560036989,0.6261459184853425,119.0,0.06490408783151011,0.30965549912529233,247,0.002414439594046235,0.9690344602734912,261,0.037948717948717944,0.8539737921729722,26.0,0.08723217690276104,0.046577274895131734,521.0,0.14222839100153603,0.024224967144404776,251.0
Muscle - Skeletal,production,SMAD3→FN1,SMAD3,FN1,772,0.2060268665650882,7.593235209780103e-09,4.899013501374832,4.004877135234794,0.27282689697384843,0.03656159222133277,59.0,0.12175604334537375,0.354065219773292,60.0,0.13106085693309455,0.1553893589047871,119.0,0.17869129905130396,0.004850244052631382,247,0.11835828065543262,0.05617491015940438,261,0.1158974358974359,0.572887073891802,26.0,0.19806434508060203,5.2323682586509515e-06,521.0,0.24083521311942646,0.00011650210719453162,251.0
Muscle - Skeletal,production,SMAD3→SERPINE1,SMAD3,SERPINE1,772,0.29142560661014505,1.4069493763117655e-16,4.899013501374832,3.5209887198370353,0.17852394104683378,0.1761116096418046,59.0,0.3634342873020284,0.004314089495634219,60.0,0.18701751887195558,0.041690974329112326,119.0,0.3406349691737294,3.986494909250444e-08,247,0.29188837853815136,1.6037325409853675e-06,261,0.24376068376068374,0.23013287485935538,26.0,0.3147218423786518,1.922169273630524e-13,521.0,0.2735287778848714,1.1026238458430218e-05,251.0
Muscle - Skeletal,production,ESR1→COL1A1,ESR1,COL1A1,772,0.5593611918555607,9.2465307097865e-65,0.7633985793845333,3.309005925538009,0.3225353965188909,0.012723751442776833,59.0,0.5857182550708531,8.828172804427677e-07,60.0,0.5177832890324562,1.635906117107294e-09,119.0,0.5815685294700379,9.466756407386987e-24,247,0.5300699425776088,2.5989158047116073e-20,261,0.372991452991453,0.06055548760076643,26.0,0.5535752367524917,3.626695598982265e-43,521.0,0.5732607549923633,2.5033176827966253e-23,251.0
Muscle - Skeletal,production,ESR1→ELN,ESR1,ELN,772,0.04523785409417423,0.20928467856233082,0.7633985793845333,3.1854685730267067,-0.0867926182532487,0.5133451604067116,59.0,0.27040844679077525,0.03665235702655512,60.0,-0.033424904348993735,0.7181930278471823,119.0,-0.0859655989485207,0.17807802785649432,247,0.043189568899056396,0.4872282882513612,261,0.14119658119658116,0.49144351516315854,26.0,0.030909892466393866,0.48142963614282164,521.0,0.07525102456878727,0.23485917072459675,251.0
Muscle - Skeletal,production,AR→COL1A1,AR,COL1A1,772,0.3441873553107912,6.837723514405566e-23,2.3189647167612235,3.309005925538009,0.31572180011689077,0.014855780565020512,59.0,0.3547423554434516,0.005417652364624439,60.0,0.3852300242130751,1.5171123636384185e-05,119.0,0.33714308808138554,5.585217238238405e-08,247,0.33359987945535224,3.339948905773294e-08,261,0.3002222646032501,0.13617839397215123,26.0,0.3830678160078323,1.1793601848670698e-19,521.0,0.2732367164422819,1.1276717869829321e-05,251.0
Muscle - Skeletal,production,SOX9→ACAN,SOX9,ACAN,772,0.1662593577785138,3.4110980033554484e-06,1.2362398481662409,0.14073733845665337,0.06808883693746347,0.6083672966684148,59.0,0.0030008752555723958,0.9818451095113112,60.0,0.20793764398951076,0.023252961733434607,119.0,0.10085580790516158,0.11386270958255519,247,0.19901447892269497,0.001228682688990963,261,0.16444444444444445,0.4221169653096195,26.0,0.15970548926865288,0.00025210875229586923,521.0,0.19215727491898504,0.0022304765326286737,251.0
Muscle - Skeletal,production,PPARG→FABP4,PPARG,FABP4,772,0.7271860873186973,6.033672384534914e-128,1.740208661386386,6.375650112184218,0.6878241938810487,1.7618513106080192e-09,59.0,0.8037455889299506,1.0720114192994097e-14,60.0,0.702071293521377,5.816082060379489e-19,119.0,0.7100024029552684,3.4622093439241836e-39,247,0.7273993098369007,2.983525412807705e-44,261,0.7347008547008547,1.9205609505225188e-05,26.0,0.7354125008856758,9.091937477822063e-90,521.0,0.6995984816520809,3.2270208751367314e-38,251.0
Muscle - Skeletal,production,PPARG→ADIPOQ,PPARG,ADIPOQ,772,0.3695997427541845,2.1291413500754357e-26,1.740208661386386,1.2142247665200594,0.17276698960040615,0.19069722836182465,59.0,0.5126495228269511,2.8180053842993027e-05,60.0,0.5008893011471823,6.573490487561057e-09,119.0,0.3343783968880092,7.272988373334969e-08,247,0.3448231758011076,1.0623842770000838e-08,261,0.34769230769230763,0.08177645272351203,26.0,0.35880299870181287,2.83284045215024e-17,521.0,0.3791169440433565,5.307942371695145e-10,251.0
Muscle - Skeletal,production,RUNX2→SPP1,RUNX2,SPP1,772,0.4783763102663835,2.1217519861516465e-45,0.5791968876698629,0.9067957012098611,0.4030976037405027,0.0015482911004670752,59.0,0.3733033246168069,0.0033058148783216977,60.0,0.42570934644232555,1.3888318785195537e-06,119.0,0.456488149929998,4.0667616098652104e-14,247,0.5309741859988416,2.1826040886786994e-20,261,0.5507692307692307,0.0035478840173657385,26.0,0.5069261188742821,2.3033071813171448e-35,521.0,0.41809935298683626,4.846924542429417e-12,251.0
Muscle - Skeletal,production,FOXO1→PCK1,FOXO1,PCK1,772,0.1686906949223345,2.4376754856969907e-06,5.808415095732002,0.4825480235499267,0.05634214410513922,0.671675542676254,59.0,0.24479021950541824,0.059424523867956616,60.0,0.14324221351023186,0.1201557273252445,119.0,0.18543016297100004,0.0034457895930067616,247,0.16108109585685107,0.009136617297105833,261,0.21230769230769228,0.2977596854417794,26.0,0.15049988939336714,0.0005676396741392924,521.0,0.1524449287724318,0.01563734550871822,251.0
Muscle - Skeletal,production,MYOD1→MYH2,MYOD1,MYH2,772,0.06486333466420073,0.0716717931025051,4.472003964408074,9.677176804740194,0.015838690824079488,0.9052249083816215,59.0,-0.05051403167546542,0.7015018643702133,60.0,-0.14979730415438955,0.10394202516506808,119.0,0.13823934139547328,0.029854153091455574,247,0.0826759390310703,0.18301129593613574,261,0.30461538461538457,0.13026135660327526,26.0,0.10107996505052282,0.02102338268605283,521.0,0.025123155139246626,0.692030219746228,251.0
Muscle - Skeletal,detection,RELA→ICAM1,RELA,ICAM1,772,0.3229165159516896,3.404096621149468e-20,5.339601252363136,2.9242579021293267,0.3488018702513151,0.0067796829230405585,59.0,0.4078133900558894,0.0012193582204634047,60.0,0.4272694578369025,1.2585197597532004e-06,119.0,0.26590584356195285,2.2924569553882348e-05,247,0.3652309459099883,1.1749599024525709e-09,261,0.3791452991452991,0.056106541458045896,26.0,0.3489438371839957,2.3065947123426393e-16,521.0,0.31103460849581316,4.945986748421674e-07,251.0
Muscle - Skeletal,detection,RELA→IL6,RELA,IL6,772,0.17491642256348344,1.008851016813976e-06,5.339601252363136,1.3237819414214265,0.11768143895819275,0.3747141500276958,59.0,0.4196223899042067,0.0008453624286154656,60.0,0.2419362017675913,0.00802877861043905,119.0,0.14905332112551709,0.019089336338128204,247,0.19127734719262662,0.0019088588740172477,261,0.22055052468006411,0.27894854396468194,26.0,0.2120295534977275,1.0412665080238966e-06,521.0,0.1335718970387373,0.03442136390094101,251.0
Muscle - Skeletal,detection,RELA→CCL2,RELA,CCL2,772,0.1262721871252526,0.0004366846798547266,5.339601252363136,1.900248520153483,0.20362361192285217,0.12189860683705311,59.0,0.275278557336964,0.033274128732595346,60.0,0.12953909371238936,0.16028535206499564,119.0,0.052207265847626826,0.4139874002070414,247,0.19066085158533347,0.0019756696635592342,261,0.22940170940170937,0.2596112166729503,26.0,0.16744366015002204,0.0001230664225494646,521.0,0.09963598847807538,0.11535523653199806,251.0
Muscle - Skeletal,detection,RELA→NFKBIA,RELA,NFKBIA,772,0.6045880642171928,4.029543882908263e-78,5.339601252363136,6.441803379380024,0.3266510812390415,0.011568086503548196,59.0,0.49959709911361794,4.8269092941705284e-05,60.0,0.5254471455005412,8.485417588799011e-10,119.0,0.6253407339867959,3.30567829912784e-28,247,0.6679276846141339,4.3619425320696605e-35,261,0.5104273504273503,0.007715317854425542,26.0,0.6110632654747912,1.1911946348299454e-54,521.0,0.5703570437297042,4.649962316843433e-23,251.0
Muscle - Skeletal,detection,NFKB1→TNF,NFKB1,TNF,772,0.07190288402431479,0.045807599415606005,3.662011045866062,0.1536689103542407,0.13039042840173865,0.3249537235006007,59.0,0.28352287706753604,0.028147693898024666,60.0,0.056308024435495485,0.5430234601584367,119.0,0.10384583861619355,0.10348424651326993,247,-0.012385916353466019,0.8421471409189778,261,0.3531418809903454,0.07678717708261934,26.0,0.08410005615590754,0.05505923673992047,521.0,0.05398981903964747,0.3943742696414658,251.0
Muscle - Skeletal,detection,HIF1A→VEGFA,HIF1A,VEGFA,772,0.002964722374068443,0.9344549258855517,3.2977197628873616,6.993478040621071,0.19485680888369378,0.139162586981988,59.0,0.04473464851347597,0.7343130719270403,60.0,0.038516935950566225,0.6774908436590338,119.0,0.03091568061620791,0.6287201574479679,247,-0.11732479304538654,0.05837322072203596,261,-0.12478632478632476,0.5436012542661113,26.0,0.02218976854780018,0.6133224573490924,521.0,-0.046937399473114864,0.45910307785523174,251.0
Muscle - Skeletal,detection,HIF1A→SLC2A1,HIF1A,SLC2A1,772,0.4697006679164637,1.2838267743789535e-43,3.2977197628873616,1.8491297218504656,0.46101694915254243,0.00023819175032835127,59.0,0.49535982217282587,5.721659016165788e-05,60.0,0.3931608258141705,9.730517781672008e-06,119.0,0.3941793153590286,1.3131649528150884e-10,247,0.5284328893507683,3.560216848849387e-20,261,0.5063247863247863,0.008307154082092892,26.0,0.4579950637720212,2.232223982789267e-28,521.0,0.4780415638000608,9.771026010141856e-16,251.0
Muscle - Skeletal,detection,TP53→CDKN1A,TP53,CDKN1A,772,0.6874260438462946,4.56093523651186e-109,2.7461659099153906,6.708651331422242,0.40935125657510235,0.0012848615184675126,59.0,0.6339071118576726,5.418436953576731e-08,60.0,0.4105084932859613,3.5363068515686677e-06,119.0,0.6953121889299269,5.226475096065191e-37,247,0.7925428968202454,1.450081085420639e-57,261,0.7634188034188034,5.718698449284633e-06,26.0,0.7033365541621015,5.903713452382508e-79,521.0,0.6297170401950598,3.909155069201377e-29,251.0
Muscle - Skeletal,detection,TP53→MDM2,TP53,MDM2,772,0.694368888715917,3.850259391325431e-112,2.7461659099153906,3.252835656694798,0.4888369374634717,8.55167288632121e-05,59.0,0.6549410245286753,1.3695672116874627e-08,60.0,0.5867693112979521,2.3392531482225423e-12,119.0,0.704927471370648,2.0288794438489834e-38,247,0.7502816195096007,1.8650148638215205e-48,261,0.6266666666666666,0.0006138129542434961,26.0,0.6953984036328213,1.6809373202733868e-76,521.0,0.6899909466696166,8.135647682676023e-37,251.0
Muscle - Skeletal,detection,ATF4→DDIT3,ATF4,DDIT3,772,0.3618930992446436,2.6628986255110838e-25,8.362206390484626,4.591169967861373,0.3709797621742395,0.0038209978157000323,59.0,0.38928020676453023,0.002110882335363919,60.0,0.4137339208676098,2.9111979801267844e-06,119.0,0.3302081595494488,1.0778660434668998e-07,247,0.4044291134804767,1.0839465293598074e-11,261,0.32717948717948714,0.10278299876834497,26.0,0.35801735387800787,3.357148648900784e-17,521.0,0.37742305188768677,6.421463138374892e-10,251.0
Muscle - Skeletal,detection,XBP1→DNAJB1,XBP1,DNAJB1,772,-0.05007860405377073,0.1645149068664299,5.580188756779686,4.06824431394666,0.1952659263588545,0.1383182264503144,59.0,0.12220061128091138,0.35229742437004163,60.0,0.04400757732327321,0.6346236968315121,119.0,-0.1510611645854407,0.017514801717480384,247,-0.13230881427169672,0.03262592985941308,261,0.06940170940170941,0.7362051227661002,26.0,-0.08346461777450506,0.056928095180275855,521.0,-0.018969534685974256,0.76489370168073,251.0
Muscle - Skeletal,detection,HSF1→HSPA1A,HSF1,HSPA1A,772,0.16621444061204707,3.432182626825429e-06,6.4622712011782,5.143782646853689,0.1968468271225196,0.13509155649822463,59.0,0.29630452903584337,0.02151800032810428,60.0,0.2918721535979945,0.0012784571240283438,119.0,0.14681799513101557,0.020985591859624418,247,0.07355970480682775,0.2362965492529433,261,0.2574358974358974,0.20421246713980898,26.0,0.1899125910685681,1.2758709368415762e-05,521.0,0.1329669114226409,0.03525349155285508,251.0
Muscle - Skeletal,detection,STAT1→IRF1,STAT1,IRF1,772,0.4333684873455129,1.0910593073917024e-36,4.298429276350249,2.345302820900561,0.366165490475827,0.004342142794669571,59.0,0.3468789508385721,0.006622429606062702,60.0,0.34265784067783184,0.00013637462152263184,119.0,0.5150053563903594,3.925279826023192e-18,247,0.44621324637424814,3.5630581073760506e-14,261,0.2827350427350427,0.1616584127225839,26.0,0.41630413306366437,2.960683893253318e-23,521.0,0.4701816360541573,3.286564093243791e-15,251.0
Muscle - Skeletal,detection,NFE2L2→NQO1,NFE2L2,NQO1,772,0.39559347589441834,2.5248289063471606e-30,4.972860651930379,3.2135424639431305,0.21005567003513523,0.11030623704569253,59.0,0.48030008335648794,0.00010286828057690288,60.0,0.5289018421627927,6.278049236959063e-10,119.0,0.3945154491894712,1.2625988261765797e-10,247,0.3537509790895745,4.133201475033172e-09,261,0.2629059829059829,0.19442450486262236,26.0,0.4326295868312894,3.545185928574898e-25,521.0,0.3605638334668647,4.029774826973242e-09,251.0
Muscle - Skeletal,detection,NFE2L2→HMOX1,NFE2L2,HMOX1,772,0.423473672584443,6.082673364264722e-35,4.972860651930379,5.057371940483083,0.19722672747177622,0.13432467331002176,59.0,0.3153098082800778,0.014129523722924437,60.0,0.22887531446045284,0.012289918117491888,119.0,0.4594296021195048,2.6618938013490184e-14,247,0.5194007381182274,1.9608900484437916e-19,261,0.4427350427350427,0.02351269350565081,26.0,0.42511128174698953,2.8034610661418134e-24,521.0,0.3951599974884859,8.273076896337174e-11,251.0
