cell_type,age_group,pi_tissue,n_tissues,n_samples,n_cells,min_per_tissue,balanced,pi_std
B cell,young,0.4615384615384617,6,14,8111,1,False,
B cell,old,0.26505166008388964,6,46,21926,4,True,0.010719513953930082
T cell,young,0.7948674623234808,5,11,4772,1,False,
T cell,old,0.2888385073345007,5,42,6019,4,True,0.009214463443902676
endothelial cell,young,0.6190120100241816,3,9,2620,2,True,0.03685741301249868
endothelial cell,old,0.2873735236180968,3,20,5271,4,True,0.010294582943574533
macrophage,young,0.7991905363231046,5,18,1496,2,True,0.009697748782554394
macrophage,old,0.5369901497322789,5,48,5331,4,True,0.026416791042400255
NK cell,young,0.4297695597300527,5,11,1178,1,False,
NK cell,old,0.46250626178243254,5,32,1307,2,True,0.0169676803242446
plasma cell,old,0.2578160487063298,3,19,1201,1,False,
