tissue,class,n_young,n_old,n_genes,median_delta_var,ci_lo,ci_hi,frac_increase,wilcoxon_p
Whole Blood,dividing,136,272,18015,0.07908881,0.07546447552740573,0.08274364843964577,0.7456008881487649,0.0
Colon - Transverse,dividing,90,105,18015,0.032680213,0.03161895014345646,0.03365706950426102,0.7182903136275326,0.0
Esophagus - Mucosa,dividing,107,166,18015,0.06201058,0.06088898684829473,0.06317061875015498,0.9210102692200943,0.0
Skin - Sun Exposed (Lower leg),dividing,116,260,18015,-0.001485467,-0.001985769998282194,-0.001009238604456186,0.48048848182070497,2.5704472333516113e-17
Skin - Not Sun Exposed (Suprapubic),dividing,97,226,18015,-0.0058990493,-0.00656084343791008,-0.005377524718642235,0.43752428531779075,7.459948670165027e-44
Thyroid,intermediate,98,234,18015,0.012833253,0.012201167084276677,0.013600564189255237,0.6329725228975853,0.0
Breast - Mammary Tissue,intermediate,89,155,18015,-0.015716262,-0.017015910521149636,-0.014823358319699763,0.38245906189286705,6.09107168812943e-310
Lung,intermediate,73,212,18015,0.039524212,0.03821508884429932,0.040518611669540405,0.7703580349708576,0.0
Adipose - Subcutaneous,intermediate,110,237,18015,-0.002127409,-0.0026706786826252936,-0.0015807151794433594,0.47471551484873714,0.005709393076209744
Muscle - Skeletal,post_mitotic,132,292,18015,0.027921766,0.02707516811788082,0.02887973580509424,0.7319456008881488,0.0
Heart - Left Ventricle,post_mitotic,48,164,18015,0.12053773,0.11727964449673892,0.1238584816455841,0.8833194560088815,0.0
Heart - Atrial Appendage,post_mitotic,33,180,18015,0.06295,0.061857358738780024,0.06390173695981502,0.8907021926172634,0.0
Artery - Tibial,post_mitotic,118,215,18015,-0.011866137,-0.012620273232460021,-0.011195440962910651,0.37885095753538717,1.4671193967716847e-222
Artery - Aorta,post_mitotic,75,140,18015,0.013752148,0.013278433494269848,0.014394108951091767,0.6577851790174855,0.0
Nerve - Tibial,post_mitotic,104,229,18015,0.0009735152,0.0005989409051835537,0.0013819444924592973,0.5172911462669997,0.00010807061735671486
